order_id,date,product,category,units,unit_price,region,revenue
ORD-1001,2025-03-04,CloudSync,Software,1,373.35,EU-East,373.35
ORD-1002,2025-05-20,DataViz License,Software,4,341.57,EU-West,1366.28
ORD-1003,2025-02-25,Router X200,Hardware,2,24.59,EU-East,49.18
ORD-1004,2025-06-16,Widget Pro,Hardware,18,107.42,EU-South,1933.56
ORD-1005,2025-01-02,Sensor Kit,Hardware,15,298.73,EU-East,4480.95
ORD-1006,2025-02-25,Router X200,Hardware,11,146.15,EU-North,1607.65
ORD-1007,2025-04-02,CloudSync,Software,3,196.15,EU-North,588.45
ORD-1008,2025-05-18,Support Plan,Service,2,367.56,EU-West,735.12
ORD-1009,2025-06-10,Router X200,Hardware,3,280.49,EU-North,841.47
ORD-1010,2025-02-28,Sensor Kit,Hardware,3,32.44,EU-North,97.32
ORD-1011,2025-04-08,CloudSync,Software,8,434.57,EU-North,3476.56
ORD-1012,2025-04-01,Analytics Suite,Software,12,89.69,EU-East,1076.28
ORD-1013,2025-02-13,Support Plan,Service,3,308.46,EU-East,925.38
ORD-1014,2025-06-13,DataViz License,Software,15,195.92,EU-East,2938.8
ORD-1015,2025-01-09,API Credits,Service,2,122.22,EU-North,244.44
ORD-1016,2025-05-26,Router X200,Hardware,9,42.42,EU-North,381.78
ORD-1017,2025-06-14,Sensor Kit,Hardware,16,203.85,EU-South,3261.6
ORD-1018,2025-05-24,DataViz License,Software,9,78.41,EU-North,705.69
ORD-1019,2025-02-26,Router X200,Hardware,19,205.7,EU-East,3908.3
ORD-1020,2025-01-29,Analytics Suite,Software,3,380.32,EU-East,1140.96
ORD-1021,2025-04-09,DataViz License,Software,14,302.23,EU-South,4231.22
ORD-1022,2025-05-22,Analytics Suite,Software,17,133.18,EU-West,2264.06
ORD-1023,2025-06-14,CloudSync,Software,18,377.92,EU-North,6802.56
ORD-1024,2025-04-27,CloudSync,Software,10,223.02,EU-West,2230.2
ORD-1025,2025-05-10,Support Plan,Service,17,383.35,EU-West,6516.95
ORD-1026,2025-02-09,Support Plan,Service,17,308.39,EU-North,5242.63
ORD-1027,2025-05-16,DataViz License,Software,18,477.2,EU-West,8589.6
ORD-1028,2025-04-03,API Credits,Service,16,19.53,EU-North,312.48
ORD-1029,2025-05-26,Sensor Kit,Hardware,2,128.02,EU-West,256.04
ORD-1030,2025-05-17,CloudSync,Software,16,409.84,EU-East,6557.44
ORD-1031,2025-02-12,DataViz License,Software,16,473.95,EU-North,7583.2
ORD-1032,2025-06-26,Router X200,Hardware,7,465.16,EU-East,3256.12
ORD-1033,2025-06-16,Support Plan,Service,13,497.61,EU-North,6468.93
ORD-1034,2025-03-05,Analytics Suite,Software,17,231.22,EU-East,3930.74
ORD-1035,2025-05-22,CloudSync,Software,11,20.3,EU-East,223.3
ORD-1036,2025-06-11,Sensor Kit,Hardware,1,44.78,EU-West,44.78
ORD-1037,2025-03-26,Sensor Kit,Hardware,3,453.65,EU-West,1360.95
ORD-1038,2025-02-24,Sensor Kit,Hardware,9,337.79,EU-East,3040.11
ORD-1039,2025-04-15,Analytics Suite,Software,8,394.45,EU-East,3155.6
ORD-1040,2025-04-01,CloudSync,Software,4,332.89,EU-South,1331.56
ORD-1041,2025-01-14,Router X200,Hardware,15,433.27,EU-West,6499.05
ORD-1042,2025-01-28,Widget Pro,Hardware,13,366.81,EU-East,4768.53
ORD-1043,2025-02-05,Sensor Kit,Hardware,7,272.77,EU-South,1909.39
ORD-1044,2025-01-20,DataViz License,Software,9,236.68,EU-South,2130.12
ORD-1045,2025-05-19,CloudSync,Software,2,329.54,EU-West,659.08
ORD-1046,2025-05-05,CloudSync,Software,8,91.48,EU-South,731.84
ORD-1047,2025-02-12,Sensor Kit,Hardware,13,452.19,EU-South,5878.47
ORD-1048,2025-04-27,Widget Pro,Hardware,13,139.94,EU-North,1819.22
ORD-1049,2025-05-05,Router X200,Hardware,18,334.31,EU-East,6017.58
ORD-1050,2025-01-15,Sensor Kit,Hardware,10,116.66,EU-West,1166.6
ORD-1051,2025-05-03,API Credits,Service,2,34.56,EU-East,69.12
ORD-1052,2025-02-17,Widget Pro,Hardware,17,49.24,EU-West,837.08
ORD-1053,2025-05-26,CloudSync,Software,8,207.84,EU-East,1662.72
